timestamp,hay_citas,mensaje,url_final
2025-10-02 10:27:16,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 10:32:42,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 10:38:07,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 10:43:34,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 10:48:57,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 10:54:25,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 10:59:50,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:05:14,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:10:39,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:21:12,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:26:35,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:32:02,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:37:29,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:42:52,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:48:15,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:53:39,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 11:59:02,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 12:04:31,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 12:09:57,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:18:41,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:24:07,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:29:30,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:34:56,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:40:21,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:45:50,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 14:51:13,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 15:01:43,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 15:07:14,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 15:12:43,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-02 15:18:06,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:29:26,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:30:48,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:32:09,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:33:34,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:34:59,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:36:24,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:37:45,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:39:12,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:40:36,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:42:00,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:43:23,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:44:52,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:46:16,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:47:44,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:49:13,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:50:37,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:52:03,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:53:30,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:54:57,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:56:24,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:57:47,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 13:59:15,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:00:40,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:02:04,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:03:28,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:04:54,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:06:14,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:07:40,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:09:03,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:10:29,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:11:59,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:16:09,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:18:46,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
2025-10-03 14:19:29,False,"⚠️  NO se detectaron citas disponibles",https://icp.administracionelectronica.gob.es/icpplus/acCitar
